integrated_row_id,global_participant_key,participant_key,dataset_source,n_source_rows,n_distinct_surveys,source_survey,source_file,prolific_id,identification_code,reference_year_model,year_birth_raw_clean,age_raw_clean,gender_raw_clean,country_raw_clean,country_code_raw_clean,country_birth_raw_clean,nationality_raw_clean,ethnicity_raw_clean,language_raw_clean,student_status_raw_clean,city_size_raw_clean,climate_zone_raw_clean,household_type_raw_clean,tenure_raw_clean,education_raw_clean,employment_raw_clean,num_children_raw_clean,health_raw_clean,income_raw_clean,travel_distance_raw_clean,travel_time_raw_clean,work_from_home_raw_clean,travel_role_raw_clean,vote_raw_clean,political_left_right_raw_clean,self_classification_raw_clean,energy_efficiency_goal_raw_clean,climate_awareness_raw_clean,energy_transition_awareness_raw_clean,renovation_role_raw_clean,household_decision_raw_clean,year_birth_model,age_model,age_model_is_approximate,age_group_model,gender_model,education_model,education_tfm_model,employment_model,student_status_model,city_size_model,tenure_model,tenure_tfm_model,health_condition_model,work_from_home_model,income_model,num_children_model,country_model,country_model_grouped,country_region_model,country_birth_model,nationality_model,ethnicity_model,language_model,climate_zone_model,household_type_model,travel_role_model,renovation_role_model,household_decision_model,vote_status_declared,voted_observed,political_left_right_model,political_block_model,self_classification_model,energy_efficiency_goal_0_100,climate_awareness_0_100,energy_transition_awareness_0_100,travel_distance_model,travel_time_model,year_birth_conflict,age_conflict,gender_conflict,education_conflict,employment_conflict,student_status_conflict,country_conflict,country_birth_conflict,nationality_conflict,ethnicity_conflict,income_conflict,vote_conflict
11,rv__5788c16f275be600013590a8,5788c16f275be600013590a8,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,5788c16f275be600013590a8,NA,2026,1976,NA,Female.,GB – United Kingdom,GB,NA,NA,NA,NA,NA,Small city: 50 000 to 250 000 inhabitants.,4: Temperate Climates - Maritime.,Dual Income No Kids: Household composed of two adults without children.,One or more members of the household own the home outright (no mortgage).,"University degree or above (e.g. bachelor’s, master’s, PhD).",Self-employed.,NA,Νone of the above.,NA,8,120,"Yes, most of the time.",Licensed Passenger.,I usually vote for national parties.,86,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,75,100,60,"I want to minimise my energy consumption as much as possible to reduce my environmental impact, even if it does not lead to immediate financial savings.",One person (usually me) does the research and then discusses it with the others.,1976,50,FALSE,45_54,female,high,university,employed,unknown,rural_small,owner_with_mortgage,Homeowner without mortgage,unknown,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,unknown,4 temperate climates maritime,dual income no kids household composed of two adults without children,licensed passenger,i want to minimise my energy consumption as much as possible to reduce my environmental impact even if it does not lead to immediate financial savings,one person usually me does the research and then discusses it with the others,voter,1,86,extreme_right,homo_economicus,75,100,60,8,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,rv__57e928630cb6700001dd8f8a,57e928630cb6700001dd8f8a,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,57e928630cb6700001dd8f8a,NA,2026,1993,NA,Female.,PT – Portugal,PT,NA,NA,NA,NA,NA,Small town: 1 000 to 10 000 inhabitants.,1: Subtropical Climates - Maritime.,Traditional family: Household composed of the parents and and one or two children.,One or more members of the household own the home with an outstanding mortgage.,"University degree or above (e.g. bachelor’s, master’s, PhD).",Full time employed.,NA,Νone of the above.,NA,45,130,"Yes, sometimes on an irregular schedule.",Solo Driver.,I usually vote for other options.,15,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,71,75,70,"I’ve already done the basic upgrades, and now I’m looking for advanced ways to reach peak energy performance and future-proof my home.",One person (usually me) does the research and then discusses it with the others.,1993,33,FALSE,25_34,female,high,university,employed,unknown,rural_small,owner_with_mortgage,Homeowner with mortgage,unknown,yes,unknown,NA,PT,PT,southern_europe,NA,unknown,unknown,unknown,1 subtropical climates maritime,traditional family household composed of the parents and and one or two children,solo driver,i ve already done the basic upgrades and now i m looking for advanced ways to reach peak energy performance and future proof my home,one person usually me does the research and then discusses it with the others,voter,1,15,extreme_left,homo_economicus,71,75,70,45,130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,rv__58404fd8ad98e40001ce915f,58404fd8ad98e40001ce915f,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,58404fd8ad98e40001ce915f,NA,2026,1973,NA,Female.,GB – United Kingdom,GB,NA,NA,NA,NA,NA,Town: 10 000 to 50 000 inhabitants.,4: Temperate Climates - Maritime.,Dual Income No Kids: Household composed of two adults without children.,We rent the home (private or social/subsidised rental).,"Vocational training (e.g. technical training, professional certificates).",Full time employed.,NA,Νone of the above.,NA,0,0,"Yes, most of the time.",Non-Driver Companion.,I usually switch my vote depending on the candidate/program or the type of election.,60,I am more likely to invest if it improves my safety or that of my household.,55,30,55,"I want a healthier, more comfortable home with lower bills, but since I rent, I need help knowing what I can actually do and how to get my landlord on board.",One person (usually me) does the research and then discusses it with the others.,1973,53,FALSE,45_54,female,medium,non_university,employed,unknown,rural_small,rent,Non-homeowner,unknown,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,unknown,4 temperate climates maritime,dual income no kids household composed of two adults without children,non driver companion,i want a healthier more comfortable home with lower bills but since i rent i need help knowing what i can actually do and how to get my landlord on board,one person usually me does the research and then discusses it with the others,uncertain,NA,60,centre,fearful,55,30,55,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,rv__589ca4e132c2cc0001cd17b5,589ca4e132c2cc0001cd17b5,rv,1,1,concerns2,Content_Export_RV-Concerns_2__166.xlsx,589ca4e132c2cc0001cd17b5,NA,2026,1966,NA,Male.,ES – Spain,ES,NA,NA,NA,NA,NA,Town: 10 000 to 50 000 inhabitants.,1: Subtropical Climates - Maritime.,Uni-personal household: Household composed of one individual.,One or more members of the household own the home outright (no mortgage).,NA,NA,NA,Self-care (such as washing or dressing).,NA,25,20,"No, almost never.",Solo Driver.,I usually vote for pro-independence or regionalist parties.,30,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,90,100,80 | Slightly concerned,NA,NA,1966,60,FALSE,55_64,male,unknown,unknown,unknown,unknown,rural_small,owner_with_mortgage,Homeowner without mortgage,other,no,unknown,NA,ES,ES,southern_europe,NA,unknown,unknown,unknown,1 subtropical climates maritime,uni personal household household composed of one individual,solo driver,unknown,unknown,voter,1,30,left,careful,90,100,NA,25,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,rv__58c62eac444ade00010231a9,58c62eac444ade00010231a9,rv,1,1,energy_crisis,Content_Export_RV-Energy_Crisis_157.xlsx,58c62eac444ade00010231a9,NA,2026,1968,NA,Male.,IT – Italy,IT,NA,NA,NA,EN,NA,Small city: 50 000 to 250 000 inhabitants.,3: Subtropical Climates - Continental.,Traditional family: Household composed of the parents and and one or two children.,One or more members of the household own the home outright (no mortgage).,NA,NA,NA,Νone of the above.,NA,80,120,"Yes, sometimes on an irregular schedule.",Solo Driver.,I usually vote for national parties.,25 | Somewhat Oppose,I am more likely to invest if it helps reduce my environmental impact.,80,100,85,NA,NA,1968,58,FALSE,55_64,male,unknown,unknown,unknown,unknown,rural_small,owner_with_mortgage,Homeowner without mortgage,unknown,yes,unknown,NA,IT,IT,southern_europe,NA,unknown,unknown,EN,3 subtropical climates continental,traditional family household composed of the parents and and one or two children,solo driver,unknown,unknown,voter,1,NA,unknown,activist,80,100,85,80,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,rv__58ededd652ac63000154a4e6,58ededd652ac63000154a4e6,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,58ededd652ac63000154a4e6,NA,2026,1964,NA,NA,GB – United Kingdom,GB,NA,NA,NA,NA,NA,Town: 10 000 to 50 000 inhabitants.,4: Temperate Climates - Maritime.,Ageing family: Household composed of two older adults.,One or more members of the household own the home outright (no mortgage).,"Vocational training (e.g. technical training, professional certificates).",Self-employed.,NA,Walking or climbing steps.,NA,7,60,"Yes, most of the time.",Solo Driver.,I usually vote for national parties.,40,I am more likely to invest if it improves my safety or that of my household.,90,100,70,"My main goal is to lower my energy bills and stay warm, but I need clear information on grants or low-cost fixes because I don't have extra money to invest right now.",All household members participate throughout the entire process.,1964,62,FALSE,55_64,unknown,medium,non_university,employed,unknown,rural_small,owner_with_mortgage,Homeowner without mortgage,other,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,unknown,4 temperate climates maritime,ageing family household composed of two older adults,solo driver,my main goal is to lower my energy bills and stay warm but i need clear information on grants or low cost fixes because i don t have extra money to invest right now,all household members participate throughout the entire process,voter,1,40,centre,fearful,90,100,70,7,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,rv__59497c498fb2140001afda85,59497c498fb2140001afda85,rv,1,1,energy_crisis,Content_Export_RV-Energy_Crisis_157.xlsx,59497c498fb2140001afda85,NA,2026,1992,NA,Female.,GB – United Kingdom,GB,NA,NA,NA,EN,NA,Medium city: 250 000 to 500 000 inhabitants.,6: Temperate Climates - Intermediate.,Dual Income No Kids: Household composed of two adults without children.,Other.,NA,NA,NA,Νone of the above.,NA,12,60,"No, almost never.",Solo Driver.,"I usually do not vote, vote blank or cast a null vote.",50 | No opinion / Unsure,"I am not very interested in new equipment, technologies, or environmental actions and usually stick to what I am used to.",60,50,22,NA,NA,1992,34,FALSE,25_34,female,unknown,unknown,unknown,unknown,rural_small,other,Non-homeowner,unknown,no,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,EN,6 temperate climates intermediate,dual income no kids household composed of two adults without children,solo driver,unknown,unknown,abstainer,0,NA,unknown,activist,60,50,22,12,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,rv__598b108e504c5200011964a1,598b108e504c5200011964a1,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,598b108e504c5200011964a1,NA,2026,1986,NA,Female.,CH – Switzerland,CH,NA,NA,NA,NA,NA,Small town: 1 000 to 10 000 inhabitants.,5: Temperate Climates - Transitional.,Traditional family: Household composed of the parents and and one or two children.,One or more members of the household own the home with an outstanding mortgage.,"University degree or above (e.g. bachelor’s, master’s, PhD).",Part-time employed.,NA,Νone of the above.,NA,30,60,"Yes, sometimes on an irregular schedule.",Solo Driver.,I usually switch my vote depending on the candidate/program or the type of election.,35,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,80,100,35,"I’ve already done the basic upgrades, and now I’m looking for advanced ways to reach peak energy performance and future-proof my home.",One person (usually not me) does the research and then discusses it with the others.,1986,40,FALSE,35_44,female,high,university,employed,unknown,rural_small,owner_with_mortgage,Homeowner with mortgage,unknown,yes,unknown,NA,CH,CH,western_europe,NA,unknown,unknown,unknown,5 temperate climates transitional,traditional family household composed of the parents and and one or two children,solo driver,i ve already done the basic upgrades and now i m looking for advanced ways to reach peak energy performance and future proof my home,one person usually not me does the research and then discusses it with the others,uncertain,NA,35,left,homo_economicus,80,100,35,30,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,rv__59a3b1a35fd74b0001abf9c1,59a3b1a35fd74b0001abf9c1,rv,1,1,energy_crisis,Content_Export_RV-Energy_Crisis_157.xlsx,59a3b1a35fd74b0001abf9c1,NA,2026,1971,NA,Female.,GB – United Kingdom,GB,NA,NA,NA,EN,NA,Town: 10 000 to 50 000 inhabitants.,4: Temperate Climates - Maritime.,Traditional family: Household composed of the parents and and one or two children.,One or more members of the household own the home with an outstanding mortgage.,NA,NA,NA,Walking or climbing steps.,NA,10,30,"Yes, most of the time.",Provider / Care Driver.,I usually vote for pro-independence or regionalist parties.,22,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,98,99,68,NA,NA,1971,55,FALSE,55_64,female,unknown,unknown,unknown,unknown,rural_small,owner_with_mortgage,Homeowner with mortgage,other,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,EN,4 temperate climates maritime,traditional family household composed of the parents and and one or two children,provider care driver,unknown,unknown,voter,1,22,left,homo_economicus,98,99,68,10,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,rv__59ce3501a5bbdd0001bf45e2,59ce3501a5bbdd0001bf45e2,rv,1,1,concerns2,Content_Export_RV-Concerns_2__166.xlsx,59ce3501a5bbdd0001bf45e2,NA,2026,1971,NA,Female.,GB – United Kingdom,GB,NA,NA,NA,NA,NA,Small city: 50 000 to 250 000 inhabitants.,4: Temperate Climates - Maritime.,NA,One or more members of the household own the home outright (no mortgage).,NA,NA,NA,Self-care (such as washing or dressing).,NA,NA,120,"Yes, most of the time.",Solo Driver.,"I usually do not vote, vote blank or cast a null vote.",50,My main interest is making the most cost-effective decision; I consider myself well informed and usually calculate costs and benefits before deciding.,50,40,19 | Slightly concerned,NA,NA,1971,55,FALSE,55_64,female,unknown,unknown,unknown,unknown,rural_small,owner_with_mortgage,Homeowner without mortgage,other,yes,unknown,NA,GB,GB,northern_europe,NA,unknown,unknown,unknown,4 temperate climates maritime,unknown,solo driver,unknown,unknown,abstainer,0,50,centre,homo_economicus,50,40,NA,NA,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,rv__59da7e94416c900001ea5b52,59da7e94416c900001ea5b52,rv,1,1,decision,Content_Export_RV-Decision_956.xlsx,59da7e94416c900001ea5b52,NA,2026,1985,NA,Female.,FR – France,FR,NA,NA,NA,NA,NA,Medium city: 250 000 to 500 000 inhabitants.,2: Subtropical Climates - Intermediate.,Single parenthood: Household composed of a parent and its children.,We rent the home (private or social/subsidised rental).,"Vocational training (e.g. technical training, professional certificates).",Self-employed.,NA,Νone of the above.,NA,1,70,"Yes, most of the time.",Non-Driver Companion.,"I usually do not vote, vote blank or cast a null vote.",50,I am more likely to invest if it maximizes my comfort or well-being and that of my household.,100,100,81,"I want to minimise my energy consumption as much as possible to reduce my environmental impact, even if it does not lead to immediate financial savings.",One person (usually me) does the research and then discusses it with the others.,1985,41,FALSE,35_44,female,medium,non_university,employed,unknown,rural_small,rent,Non-homeowner,unknown,yes,unknown,NA,FR,FR,western_europe,NA,unknown,unknown,unknown,2 subtropical climates intermediate,single parenthood household composed of a parent and its children,non driver companion,i want to minimise my energy consumption as much as possible to reduce my environmental impact even if it does not lead to immediate financial savings,one person usually me does the research and then discusses it with the others,abstainer,0,50,centre,careful,100,100,81,1,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
