bootstrap_id,consensus_factor,reference_factor,original_factor,alignment_similarity_pct
15,4,MR4,MR2,87.5
15,5,MR5,MR1,75
15,6,MR6,MR3,100
16,1,MR1,MR4,100
16,2,MR2,MR3,75
16,3,MR3,MR5,75
16,4,MR4,MR1,87.5
16,5,MR5,MR6,75
16,6,MR6,MR2,100
17,1,MR1,MR2,87.5
17,2,MR2,MR5,37.5
17,3,MR3,MR1,62.5
17,4,MR4,MR3,62.5
17,5,MR5,MR4,75
17,6,MR6,MR6,100
18,1,MR1,MR5,62.5
18,2,MR2,MR3,75
18,3,MR3,MR1,87.5
18,4,MR4,MR6,75
18,5,MR5,MR4,75
18,6,MR6,MR2,100
19,1,MR1,MR2,75
19,2,MR2,MR3,62.5
19,3,MR3,MR4,75
19,4,MR4,MR1,50
19,5,MR5,MR6,75
19,6,MR6,MR5,100
20,1,MR1,MR3,62.5
20,2,MR2,MR6,62.5
20,3,MR3,MR5,62.5
20,4,MR4,MR4,75
20,5,MR5,MR1,75
20,6,MR6,MR2,100
21,1,MR1,MR6,75
21,2,MR2,MR5,87.5
21,3,MR3,MR3,87.5
21,4,MR4,MR4,87.5
21,5,MR5,MR2,62.5
21,6,MR6,MR1,100
22,1,MR1,MR1,87.5
22,2,MR2,MR5,75
22,3,MR3,MR6,75
22,4,MR4,MR4,62.5
22,5,MR5,MR2,87.5
22,6,MR6,MR3,100
23,1,MR1,MR4,87.5
23,2,MR2,MR2,75
23,3,MR3,MR6,75
23,4,MR4,MR5,62.5
23,5,MR5,MR3,62.5
23,6,MR6,MR1,100
24,1,MR1,MR4,87.5
24,2,MR2,MR6,62.5
24,3,MR3,MR1,62.5
24,4,MR4,MR2,87.5
24,5,MR5,MR5,87.5
24,6,MR6,MR3,100
25,1,MR1,MR6,87.5
25,2,MR2,MR2,87.5
25,3,MR3,MR5,75
25,4,MR4,MR3,100
25,5,MR5,MR4,87.5
25,6,MR6,MR1,100
26,1,MR1,MR4,75
26,2,MR2,MR2,62.5
26,3,MR3,MR3,87.5
26,4,MR4,MR6,62.5
26,5,MR5,MR1,87.5
26,6,MR6,MR5,100
27,1,MR1,MR4,75
27,2,MR2,MR2,75
27,3,MR3,MR6,75
27,4,MR4,MR1,75
27,5,MR5,MR5,87.5
27,6,MR6,MR3,100
28,1,MR1,MR1,87.5
28,2,MR2,MR5,100
28,3,MR3,MR6,75
28,4,MR4,MR2,62.5
28,5,MR5,MR4,87.5
28,6,MR6,MR3,100
29,1,MR1,MR2,87.5
29,2,MR2,MR4,87.5
29,3,MR3,MR6,87.5
29,4,MR4,MR1,75
29,5,MR5,MR5,87.5
29,6,MR6,MR3,100
30,1,MR1,MR1,87.5
30,2,MR2,MR6,87.5
30,3,MR3,MR3,87.5
30,4,MR4,MR2,75
30,5,MR5,MR5,87.5
30,6,MR6,MR4,100
31,1,MR1,MR1,75
31,2,MR2,MR3,62.5
31,3,MR3,MR5,75
31,4,MR4,MR2,62.5
31,5,MR5,MR4,75
31,6,MR6,MR6,100
32,1,MR1,MR2,87.5
32,2,MR2,MR3,75
32,3,MR3,MR6,87.5
32,4,MR4,MR5,87.5
32,5,MR5,MR4,87.5
32,6,MR6,MR1,100
33,1,MR1,MR4,75
33,2,MR2,MR2,75
33,3,MR3,MR1,75
33,4,MR4,MR6,75
33,5,MR5,MR3,87.5
33,6,MR6,MR5,100
34,1,MR1,MR1,87.5
34,2,MR2,MR2,75
34,3,MR3,MR4,75
34,4,MR4,MR3,87.5
34,5,MR5,MR6,87.5
34,6,MR6,MR5,100
35,1,MR1,MR3,62.5
35,2,MR2,MR4,87.5
35,3,MR3,MR5,75
35,4,MR4,MR6,87.5
35,5,MR5,MR1,75
35,6,MR6,MR2,100
36,1,MR1,MR2,75
36,2,MR2,MR6,62.5
36,3,MR3,MR4,75
36,4,MR4,MR3,75
36,5,MR5,MR5,75
36,6,MR6,MR1,100
37,1,MR1,MR3,87.5
37,2,MR2,MR2,87.5
37,3,MR3,MR1,62.5
37,4,MR4,MR6,75
37,5,MR5,MR4,75
37,6,MR6,MR5,100
38,1,MR1,MR1,100
38,2,MR2,MR4,50
38,3,MR3,MR3,50
38,4,MR4,MR5,75
38,5,MR5,MR2,87.5
38,6,MR6,MR6,100
39,1,MR1,MR3,87.5
39,2,MR2,MR4,75
39,3,MR3,MR5,87.5
39,4,MR4,MR6,87.5
39,5,MR5,MR2,62.5
39,6,MR6,MR1,100
40,1,MR1,MR6,87.5
40,2,MR2,MR4,75
40,3,MR3,MR3,62.5
40,4,MR4,MR1,62.5
40,5,MR5,MR5,87.5
40,6,MR6,MR2,100
41,1,MR1,MR4,87.5
41,2,MR2,MR1,37.5
41,3,MR3,MR5,62.5
41,4,MR4,MR2,75
41,5,MR5,MR6,75
41,6,MR6,MR3,87.5
42,1,MR1,MR3,87.5
42,2,MR2,MR1,75
42,3,MR3,MR5,75
42,4,MR4,MR4,87.5
42,5,MR5,MR6,87.5
42,6,MR6,MR2,100
43,1,MR1,MR6,87.5
43,2,MR2,MR5,62.5
43,3,MR3,MR3,75
43,4,MR4,MR1,75
43,5,MR5,MR4,87.5
43,6,MR6,MR2,100
44,1,MR1,MR5,75
44,2,MR2,MR3,62.5
44,3,MR3,MR2,87.5
44,4,MR4,MR4,75
44,5,MR5,MR1,75
44,6,MR6,MR6,100
45,1,MR1,MR6,87.5
45,2,MR2,MR1,75
45,3,MR3,MR5,62.5
45,4,MR4,MR2,87.5
45,5,MR5,MR4,75
45,6,MR6,MR3,100
46,1,MR1,MR4,87.5
46,2,MR2,MR6,50
46,3,MR3,MR5,50
46,4,MR4,MR3,75
46,5,MR5,MR1,75
46,6,MR6,MR2,100
47,1,MR1,MR1,87.5
47,2,MR2,MR5,87.5
47,3,MR3,MR6,62.5
47,4,MR4,MR3,87.5
47,5,MR5,MR4,87.5
47,6,MR6,MR2,100
48,1,MR1,MR1,87.5
48,2,MR2,MR2,75
48,3,MR3,MR3,87.5
48,4,MR4,MR5,75
48,5,MR5,MR4,75
48,6,MR6,MR6,100
49,1,MR1,MR6,75
49,2,MR2,MR4,62.5
49,3,MR3,MR5,87.5
49,4,MR4,MR1,75
49,5,MR5,MR2,62.5
49,6,MR6,MR3,100
50,1,MR1,MR4,87.5
50,2,MR2,MR1,87.5
50,3,MR3,MR5,75
50,4,MR4,MR6,87.5
50,5,MR5,MR3,87.5
50,6,MR6,MR2,100
51,1,MR1,MR6,87.5
51,2,MR2,MR1,75
51,3,MR3,MR3,87.5
51,4,MR4,MR5,87.5
51,5,MR5,MR4,100
51,6,MR6,MR2,100
52,1,MR1,MR6,87.5
52,2,MR2,MR3,75
52,3,MR3,MR4,75
52,4,MR4,MR1,75
52,5,MR5,MR5,62.5
52,6,MR6,MR2,100
53,1,MR1,MR2,87.5
53,2,MR2,MR5,75
53,3,MR3,MR3,87.5
53,4,MR4,MR1,75
53,5,MR5,MR6,87.5
53,6,MR6,MR4,100
54,1,MR1,MR2,87.5
54,2,MR2,MR3,62.5
54,3,MR3,MR4,75
54,4,MR4,MR5,62.5
54,5,MR5,MR6,75
54,6,MR6,MR1,100
55,1,MR1,MR6,75
55,2,MR2,MR4,62.5
55,3,MR3,MR2,62.5
55,4,MR4,MR1,62.5
55,5,MR5,MR3,75
55,6,MR6,MR5,100
56,1,MR1,MR2,75
56,2,MR2,MR4,37.5
56,3,MR3,MR5,75
56,4,MR4,MR1,62.5
56,5,MR5,MR6,75
56,6,MR6,MR3,100
57,1,MR1,MR5,87.5
57,2,MR2,MR3,62.5
57,3,MR3,MR4,62.5
57,4,MR4,MR6,87.5
57,5,MR5,MR1,62.5
57,6,MR6,MR2,100
58,1,MR1,MR5,87.5
58,2,MR2,MR1,75
58,3,MR3,MR6,87.5
58,4,MR4,MR2,75
58,5,MR5,MR4,75
58,6,MR6,MR3,100
59,1,MR1,MR4,87.5
59,2,MR2,MR6,50
59,3,MR3,MR3,50
59,4,MR4,MR5,75
59,5,MR5,MR2,75
59,6,MR6,MR1,100
60,1,MR1,MR5,87.5
60,2,MR2,MR4,62.5
60,3,MR3,MR2,75
60,4,MR4,MR1,75
60,5,MR5,MR3,75
60,6,MR6,MR6,100
61,1,MR1,MR2,100
61,2,MR2,MR5,100
61,3,MR3,MR6,75
61,4,MR4,MR3,87.5
61,5,MR5,MR1,75
61,6,MR6,MR4,100
62,1,MR1,MR2,75
62,2,MR2,MR1,75
62,3,MR3,MR4,75
62,4,MR4,MR5,87.5
62,5,MR5,MR3,87.5
62,6,MR6,MR6,100
63,1,MR1,MR6,62.5
63,2,MR2,MR5,50
63,3,MR3,MR1,75
63,4,MR4,MR4,62.5
63,5,MR5,MR3,87.5
63,6,MR6,MR2,100
64,1,MR1,MR4,87.5
64,2,MR2,MR1,87.5
64,3,MR3,MR6,87.5
64,4,MR4,MR3,87.5
64,5,MR5,MR2,75
64,6,MR6,MR5,100
65,1,MR1,MR5,87.5
65,2,MR2,MR3,87.5
65,3,MR3,MR2,75
65,4,MR4,MR6,75
65,5,MR5,MR4,87.5
65,6,MR6,MR1,100
66,1,MR1,MR1,87.5
66,2,MR2,MR3,62.5
66,3,MR3,MR6,62.5
66,4,MR4,MR4,62.5
66,5,MR5,MR5,75
66,6,MR6,MR2,100
67,1,MR1,MR1,75
67,2,MR2,MR3,75
67,3,MR3,MR2,87.5
67,4,MR4,MR6,75
67,5,MR5,MR4,62.5
67,6,MR6,MR5,100
68,1,MR1,MR2,100
68,2,MR2,MR3,75
68,3,MR3,MR1,87.5
68,4,MR4,MR6,87.5
68,5,MR5,MR4,62.5
68,6,MR6,MR5,100
69,1,MR1,MR5,75
69,2,MR2,MR2,75
69,3,MR3,MR3,87.5
69,4,MR4,MR6,75
69,5,MR5,MR4,75
69,6,MR6,MR1,100
70,1,MR1,MR1,87.5
70,2,MR2,MR3,62.5
70,3,MR3,MR5,50
70,4,MR4,MR6,62.5
70,5,MR5,MR4,87.5
70,6,MR6,MR2,100
71,1,MR1,MR1,75
71,2,MR2,MR6,87.5
71,3,MR3,MR4,75
71,4,MR4,MR3,87.5
71,5,MR5,MR5,75
71,6,MR6,MR2,100
72,1,MR1,MR5,75
72,2,MR2,MR2,87.5
72,3,MR3,MR1,87.5
72,4,MR4,MR3,75
72,5,MR5,MR4,75
72,6,MR6,MR6,100
73,1,MR1,MR2,62.5
73,2,MR2,MR5,87.5
73,3,MR3,MR4,75
73,4,MR4,MR3,75
73,5,MR5,MR1,87.5
73,6,MR6,MR6,100
74,1,MR1,MR4,87.5
74,2,MR2,MR1,62.5
74,3,MR3,MR6,62.5
74,4,MR4,MR2,75
74,5,MR5,MR5,87.5
74,6,MR6,MR3,100
75,1,MR1,MR1,75
75,2,MR2,MR3,75
75,3,MR3,MR6,75
75,4,MR4,MR5,62.5
75,5,MR5,MR2,75
75,6,MR6,MR4,100
76,1,MR1,MR3,87.5
76,2,MR2,MR4,87.5
76,3,MR3,MR2,75
76,4,MR4,MR6,100
76,5,MR5,MR5,62.5
76,6,MR6,MR1,100
77,1,MR1,MR5,87.5
77,2,MR2,MR6,75
77,3,MR3,MR1,62.5
77,4,MR4,MR2,62.5
77,5,MR5,MR4,87.5
77,6,MR6,MR3,100
78,1,MR1,MR1,75
78,2,MR2,MR3,87.5
78,3,MR3,MR2,62.5
78,4,MR4,MR6,75
78,5,MR5,MR5,87.5
78,6,MR6,MR4,100
79,1,MR1,MR1,100
79,2,MR2,MR4,62.5
79,3,MR3,MR6,62.5
79,4,MR4,MR3,75
79,5,MR5,MR5,87.5
79,6,MR6,MR2,100
80,1,MR1,MR6,87.5
80,2,MR2,MR5,87.5
80,3,MR3,MR2,62.5
80,4,MR4,MR4,87.5
80,5,MR5,MR3,62.5
80,6,MR6,MR1,100
81,1,MR1,MR4,87.5
81,2,MR2,MR1,87.5
81,3,MR3,MR6,87.5
81,4,MR4,MR2,87.5
81,5,MR5,MR5,75
81,6,MR6,MR3,87.5
82,1,MR1,MR3,75
82,2,MR2,MR4,62.5
82,3,MR3,MR1,75
82,4,MR4,MR5,75
82,5,MR5,MR6,87.5
82,6,MR6,MR2,100
83,1,MR1,MR2,87.5
83,2,MR2,MR6,75
83,3,MR3,MR1,87.5
83,4,MR4,MR3,100
83,5,MR5,MR5,75
83,6,MR6,MR4,100
84,1,MR1,MR5,75
84,2,MR2,MR3,62.5
84,3,MR3,MR6,75
84,4,MR4,MR2,75
84,5,MR5,MR4,87.5
84,6,MR6,MR1,100
85,1,MR1,MR5,75
85,2,MR2,MR3,50
85,3,MR3,MR6,62.5
85,4,MR4,MR2,62.5
85,5,MR5,MR1,87.5
85,6,MR6,MR4,100
86,1,MR1,MR1,87.5
86,2,MR2,MR2,50
86,3,MR3,MR6,75
86,4,MR4,MR5,62.5
86,5,MR5,MR3,75
86,6,MR6,MR4,100
87,1,MR1,MR2,87.5
87,2,MR2,MR5,87.5
87,3,MR3,MR1,75
87,4,MR4,MR3,87.5
87,5,MR5,MR4,75
87,6,MR6,MR6,100
88,1,MR1,MR2,75
88,2,MR2,MR5,87.5
88,3,MR3,MR1,75
88,4,MR4,MR4,62.5
88,5,MR5,MR6,62.5
88,6,MR6,MR3,100
89,1,MR1,MR5,62.5
89,2,MR2,MR6,50
89,3,MR3,MR2,62.5
89,4,MR4,MR3,87.5
89,5,MR5,MR4,75
89,6,MR6,MR1,100
90,1,MR1,MR1,75
90,2,MR2,MR5,75
90,3,MR3,MR4,62.5
90,4,MR4,MR3,62.5
90,5,MR5,MR6,62.5
90,6,MR6,MR2,100
91,1,MR1,MR6,87.5
91,2,MR2,MR4,75
91,3,MR3,MR3,87.5
91,4,MR4,MR5,87.5
91,5,MR5,MR2,87.5
91,6,MR6,MR1,100
92,1,MR1,MR5,100
92,2,MR2,MR2,75
92,3,MR3,MR6,87.5
92,4,MR4,MR4,62.5
92,5,MR5,MR1,87.5
92,6,MR6,MR3,100
93,1,MR1,MR2,87.5
93,2,MR2,MR5,62.5
93,3,MR3,MR6,87.5
93,4,MR4,MR3,50
93,5,MR5,MR4,75
93,6,MR6,MR1,100
94,1,MR1,MR1,100
94,2,MR2,MR2,100
94,3,MR3,MR3,100
94,4,MR4,MR4,100
94,5,MR5,MR5,100
94,6,MR6,MR6,100
95,1,MR1,MR6,75
95,2,MR2,MR1,62.5
95,3,MR3,MR3,75
95,4,MR4,MR5,62.5
95,5,MR5,MR4,75
95,6,MR6,MR2,100
96,1,MR1,MR4,75
96,2,MR2,MR6,75
96,3,MR3,MR2,62.5
96,4,MR4,MR5,62.5
96,5,MR5,MR1,87.5
96,6,MR6,MR3,87.5
97,1,MR1,MR2,75
97,2,MR2,MR3,62.5
97,3,MR3,MR5,62.5
97,4,MR4,MR4,75
97,5,MR5,MR1,75
97,6,MR6,MR6,100
98,1,MR1,MR2,87.5
98,2,MR2,MR3,75
98,3,MR3,MR6,75
98,4,MR4,MR5,87.5
98,5,MR5,MR1,62.5
98,6,MR6,MR4,100
99,1,MR1,MR6,75
99,2,MR2,MR1,75
99,3,MR3,MR2,75
99,4,MR4,MR3,87.5
99,5,MR5,MR4,87.5
99,6,MR6,MR5,100
100,1,MR1,MR5,75
100,2,MR2,MR2,62.5
100,3,MR3,MR1,75
100,4,MR4,MR4,75
100,5,MR5,MR6,75
100,6,MR6,MR3,100
