section_order,row_order,row_type,characteristic,Total,Careful,Activist,Fearful,Homo economicus,Sentient,Influencer,Uninterested,Early adopter
3,3,data,  Generation Z,36 (9.3%),11 (14.3%),7 (10.4%),6 (9.1%),8 (13.6%),2 (3.6%),0 (0.0%),2 (22.2%),0 (0.0%)
3,3,data,  Millennials,143 (37.0%),47 (61.0%),19 (28.4%),21 (31.8%),33 (55.9%),9 (16.4%),6 (17.1%),4 (44.4%),1 (100.0%)
3,4,data,  Boomers +,105 (27.1%),7 (9.1%),23 (34.3%),21 (31.8%),6 (10.2%),21 (38.2%),19 (54.3%),0 (0.0%),0 (0.0%)
3,4,data,  Generation X,103 (26.6%),12 (15.6%),18 (26.9%),18 (27.3%),12 (20.3%),23 (41.8%),10 (28.6%),3 (33.3%),0 (0.0%)
3,4,data,  Generation Z,36 (9.3%),11 (14.3%),7 (10.4%),6 (9.1%),8 (13.6%),2 (3.6%),0 (0.0%),2 (22.2%),0 (0.0%)
3,4,data,  Millennials,143 (37.0%),47 (61.0%),19 (28.4%),21 (31.8%),33 (55.9%),9 (16.4%),6 (17.1%),4 (44.4%),1 (100.0%)
4,0,header,Gender,,,,,,,,,
4,1,data,  Female,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
4,1,data,  Male,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
4,1,data,  Other / Prefer not to say,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
4,2,data,  Female,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
4,2,data,  Male,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
4,2,data,  Other / Prefer not to say,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
4,3,data,  Female,192 (49.5%),48 (63.2%),27 (39.7%),35 (52.2%),44 (73.3%),10 (18.2%),12 (35.3%),5 (55.6%),1 (100.0%)
4,3,data,  Male,192 (49.5%),28 (36.8%),39 (57.4%),32 (47.8%),16 (26.7%),44 (80.0%),22 (64.7%),3 (33.3%),0 (0.0%)
4,3,data,  Other / Prefer not to say,4 (1.0%),0 (0.0%),2 (2.9%),0 (0.0%),0 (0.0%),1 (1.8%),0 (0.0%),1 (11.1%),0 (0.0%)
5,0,header,Country of residence,,,,,,,,,
5,1,data,  Other European country,210 (53.0%),72 (88.9%),30 (42.9%),32 (47.1%),51 (85.0%),6 (11.8%),4 (11.4%),6 (66.7%),1 (100.0%)
5,1,data,  Spain,186 (47.0%),9 (11.1%),40 (57.1%),36 (52.9%),9 (15.0%),45 (88.2%),31 (88.6%),3 (33.3%),0 (0.0%)
5,2,data,  Other European country,210 (53.0%),72 (88.9%),30 (42.9%),32 (47.1%),51 (85.0%),6 (11.8%),4 (11.4%),6 (66.7%),1 (100.0%)
5,2,data,  Spain,186 (47.0%),9 (11.1%),40 (57.1%),36 (52.9%),9 (15.0%),45 (88.2%),31 (88.6%),3 (33.3%),0 (0.0%)
6,0,header,European region,,,,,,,,,
6,1,data,  Eastern Europe,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,1,data,  Northern Europe,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,1,data,  Other region,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,1,data,  Southern Europe,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,1,data,  Western Europe,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,2,data,  Eastern Europe,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,2,data,  Northern Europe,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,2,data,  Other region,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,2,data,  Southern Europe,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,2,data,  Western Europe,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,3,data,  Eastern Europe,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,3,data,  Northern Europe,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,3,data,  Other region,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,3,data,  Southern Europe,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,3,data,  Western Europe,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,4,data,  Eastern Europe,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,4,data,  Northern Europe,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,4,data,  Other region,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,4,data,  Southern Europe,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,4,data,  Western Europe,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
6,5,data,  Eastern Europe,50 (12.6%),19 (23.5%),3 (4.3%),10 (14.7%),14 (23.3%),1 (2.0%),1 (2.9%),1 (11.1%),0 (0.0%)
6,5,data,  Northern Europe,50 (12.6%),20 (24.7%),11 (15.7%),5 (7.4%),9 (15.0%),0 (0.0%),2 (5.7%),2 (22.2%),0 (0.0%)
6,5,data,  Other region,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
6,5,data,  Southern Europe,226 (57.1%),21 (25.9%),44 (62.9%),46 (67.6%),17 (28.3%),46 (90.2%),31 (88.6%),4 (44.4%),0 (0.0%)
6,5,data,  Western Europe,70 (17.7%),21 (25.9%),12 (17.1%),7 (10.3%),20 (33.3%),4 (7.8%),1 (2.9%),2 (22.2%),1 (100.0%)
7,0,header,Education level,,,,,,,,,
7,1,data,  Non-university education,93 (23.9%),16 (20.8%),14 (20.6%),14 (20.9%),18 (30.5%),15 (27.3%),12 (34.3%),2 (22.2%),0 (0.0%)
7,1,data,  University education,296 (76.1%),61 (79.2%),54 (79.4%),53 (79.1%),41 (69.5%),40 (72.7%),23 (65.7%),7 (77.8%),1 (100.0%)
7,2,data,  Non-university education,93 (23.9%),16 (20.8%),14 (20.6%),14 (20.9%),18 (30.5%),15 (27.3%),12 (34.3%),2 (22.2%),0 (0.0%)
7,2,data,  University education,296 (76.1%),61 (79.2%),54 (79.4%),53 (79.1%),41 (69.5%),40 (72.7%),23 (65.7%),7 (77.8%),1 (100.0%)
8,0,header,Employment status,,,,,,,,,
8,1,data,  Employed,290 (74.6%),58 (75.3%),54 (78.3%),43 (64.2%),47 (79.7%),43 (78.2%),25 (71.4%),6 (75.0%),1 (100.0%)
8,1,data,  Other employment status,69 (17.7%),8 (10.4%),11 (15.9%),17 (25.4%),6 (10.2%),12 (21.8%),10 (28.6%),0 (0.0%),0 (0.0%)
8,1,data,  Student,30 (7.7%),11 (14.3%),4 (5.8%),7 (10.4%),6 (10.2%),0 (0.0%),0 (0.0%),2 (25.0%),0 (0.0%)
8,2,data,  Employed,290 (74.6%),58 (75.3%),54 (78.3%),43 (64.2%),47 (79.7%),43 (78.2%),25 (71.4%),6 (75.0%),1 (100.0%)
8,2,data,  Other employment status,69 (17.7%),8 (10.4%),11 (15.9%),17 (25.4%),6 (10.2%),12 (21.8%),10 (28.6%),0 (0.0%),0 (0.0%)
8,2,data,  Student,30 (7.7%),11 (14.3%),4 (5.8%),7 (10.4%),6 (10.2%),0 (0.0%),0 (0.0%),2 (25.0%),0 (0.0%)
8,3,data,  Employed,290 (74.6%),58 (75.3%),54 (78.3%),43 (64.2%),47 (79.7%),43 (78.2%),25 (71.4%),6 (75.0%),1 (100.0%)
8,3,data,  Other employment status,69 (17.7%),8 (10.4%),11 (15.9%),17 (25.4%),6 (10.2%),12 (21.8%),10 (28.6%),0 (0.0%),0 (0.0%)
8,3,data,  Student,30 (7.7%),11 (14.3%),4 (5.8%),7 (10.4%),6 (10.2%),0 (0.0%),0 (0.0%),2 (25.0%),0 (0.0%)
9,0,header,Work/study from home,,,,,,,,,
9,1,data,  No,156 (41.3%),20 (26.7%),26 (38.8%),30 (45.5%),15 (26.3%),30 (55.6%),23 (67.6%),3 (33.3%),0 (0.0%)
9,1,data,  Yes,222 (58.7%),55 (73.3%),41 (61.2%),36 (54.5%),42 (73.7%),24 (44.4%),11 (32.4%),6 (66.7%),1 (100.0%)
9,2,data,  No,156 (41.3%),20 (26.7%),26 (38.8%),30 (45.5%),15 (26.3%),30 (55.6%),23 (67.6%),3 (33.3%),0 (0.0%)
9,2,data,  Yes,222 (58.7%),55 (73.3%),41 (61.2%),36 (54.5%),42 (73.7%),24 (44.4%),11 (32.4%),6 (66.7%),1 (100.0%)
10,0,header,Household type,,,,,,,,,
10,1,data,  Couple without children,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
10,1,data,  Household with children,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,1,data,  Other,83 (21.8%),19 (25.3%),12 (17.9%),13 (19.4%),9 (16.1%),11 (20.4%),13 (37.1%),4 (44.4%),0 (0.0%)
10,2,data,  Couple without children,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
10,2,data,  Household with children,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,2,data,  Other,83 (21.8%),19 (25.3%),12 (17.9%),13 (19.4%),9 (16.1%),11 (20.4%),13 (37.1%),4 (44.4%),0 (0.0%)
10,3,data,  Couple without children,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
10,3,data,  Household with children,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,3,data,  Other,83 (21.8%),19 (25.3%),12 (17.9%),13 (19.4%),9 (16.1%),11 (20.4%),13 (37.1%),4 (44.4%),0 (0.0%)
11,0,header,Tenure status,,,,,,,,,
11,1,data,  Homeowner with mortgage,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
11,1,data,  Homeowner without mortgage,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
11,1,data,  Non-homeowner,102 (25.8%),34 (43.0%),13 (18.6%),22 (32.4%),23 (38.3%),4 (7.4%),3 (8.6%),1 (11.1%),1 (100.0%)
11,2,data,  Homeowner with mortgage,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
11,2,data,  Homeowner without mortgage,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
11,2,data,  Non-homeowner,102 (25.8%),34 (43.0%),13 (18.6%),22 (32.4%),23 (38.3%),4 (7.4%),3 (8.6%),1 (11.1%),1 (100.0%)
11,3,data,  Homeowner with mortgage,109 (27.5%),19 (24.1%),26 (37.1%),15 (22.1%),17 (28.3%),15 (27.8%),8 (22.9%),2 (22.2%),0 (0.0%)
11,3,data,  Homeowner without mortgage,185 (46.7%),26 (32.9%),31 (44.3%),31 (45.6%),20 (33.3%),35 (64.8%),24 (68.6%),6 (66.7%),0 (0.0%)
11,3,data,  Non-homeowner,102 (25.8%),34 (43.0%),13 (18.6%),22 (32.4%),23 (38.3%),4 (7.4%),3 (8.6%),1 (11.1%),1 (100.0%)
12,0,header,Climate zone,,,,,,,,,
12,1,data,  Cold/Polar climate,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,1,data,  Other climate,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
12,1,data,  Temperate climate,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,1,data,  Warm/Mediterranean climate,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
12,2,data,  Cold/Polar climate,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,2,data,  Other climate,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
12,2,data,  Temperate climate,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,2,data,  Warm/Mediterranean climate,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
12,3,data,  Cold/Polar climate,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,3,data,  Other climate,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
12,3,data,  Temperate climate,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,3,data,  Warm/Mediterranean climate,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
12,4,data,  Cold/Polar climate,17 (4.2%),6 (7.3%),2 (2.8%),4 (5.9%),1 (1.7%),2 (3.6%),1 (2.9%),1 (11.1%),0 (0.0%)
12,4,data,  Other climate,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
12,4,data,  Temperate climate,226 (56.1%),57 (69.5%),45 (63.4%),24 (35.3%),47 (78.3%),31 (56.4%),6 (17.1%),6 (66.7%),1 (100.0%)
12,4,data,  Warm/Mediterranean climate,160 (39.7%),19 (23.2%),24 (33.8%),40 (58.8%),12 (20.0%),22 (40.0%),28 (80.0%),2 (22.2%),0 (0.0%)
13,0,header,Political orientation,,,,,,,,,
13,1,data,  Centre,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,1,data,  Far left,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,1,data,  Far right,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,1,data,  Left,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,1,data,  Right,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,2,data,  Centre,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,2,data,  Far left,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,2,data,  Far right,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,2,data,  Left,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,2,data,  Right,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,3,data,  Centre,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,3,data,  Far left,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,3,data,  Far right,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,3,data,  Left,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,3,data,  Right,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,4,data,  Centre,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,4,data,  Far left,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,4,data,  Far right,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,4,data,  Left,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,4,data,  Right,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
13,5,data,  Centre,73 (19.1%),21 (29.2%),12 (17.6%),11 (16.9%),21 (36.2%),2 (3.7%),2 (5.7%),1 (11.1%),0 (0.0%)
13,5,data,  Far left,145 (37.9%),21 (29.2%),27 (39.7%),18 (27.7%),14 (24.1%),32 (59.3%),17 (48.6%),5 (55.6%),1 (100.0%)
13,5,data,  Far right,6 (1.6%),3 (4.2%),0 (0.0%),1 (1.5%),1 (1.7%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
13,5,data,  Left,130 (33.9%),21 (29.2%),25 (36.8%),25 (38.5%),17 (29.3%),19 (35.2%),15 (42.9%),2 (22.2%),0 (0.0%)
13,5,data,  Right,29 (7.6%),6 (8.3%),4 (5.9%),10 (15.4%),5 (8.6%),1 (1.9%),1 (2.9%),1 (11.1%),0 (0.0%)
