bootstrap_id,consensus_factor,reference_factor,original_factor,alignment_similarity_pct
20,3,MR3,MR1,37.5
20,4,MR4,MR2,50
20,5,MR5,MR6,37.5
20,6,MR6,MR5,62.5
21,1,MR1,MR4,37.5
21,2,MR2,MR5,50
21,3,MR3,MR3,25
21,4,MR4,MR1,62.5
21,5,MR5,MR6,37.5
21,6,MR6,MR2,62.5
22,1,MR1,MR4,25
22,2,MR2,MR5,50
22,3,MR3,MR1,62.5
22,4,MR4,MR3,62.5
22,5,MR5,MR2,87.5
22,6,MR6,MR6,75
23,1,MR1,MR3,37.5
23,2,MR2,MR1,50
23,3,MR3,MR6,25
23,4,MR4,MR5,62.5
23,5,MR5,MR4,50
23,6,MR6,MR2,50
24,1,MR1,MR6,25
24,2,MR2,MR5,50
24,3,MR3,MR1,62.5
24,4,MR4,MR2,75
24,5,MR5,MR3,50
24,6,MR6,MR4,87.5
25,1,MR1,MR2,62.5
25,2,MR2,MR6,50
25,3,MR3,MR5,37.5
25,4,MR4,MR3,62.5
25,5,MR5,MR1,25
25,6,MR6,MR4,87.5
26,1,MR1,MR6,50
26,2,MR2,MR5,25
26,3,MR3,MR3,62.5
26,4,MR4,MR1,37.5
26,5,MR5,MR4,62.5
26,6,MR6,MR2,75
27,1,MR1,MR4,50
27,2,MR2,MR6,62.5
27,3,MR3,MR5,37.5
27,4,MR4,MR3,50
27,5,MR5,MR2,50
27,6,MR6,MR1,87.5
28,1,MR1,MR2,50
28,2,MR2,MR4,37.5
28,3,MR3,MR5,62.5
28,4,MR4,MR6,62.5
28,5,MR5,MR1,37.5
28,6,MR6,MR3,50
29,1,MR1,MR1,37.5
29,2,MR2,MR4,50
29,3,MR3,MR5,50
29,4,MR4,MR2,37.5
29,5,MR5,MR3,62.5
29,6,MR6,MR6,75
30,1,MR1,MR3,62.5
30,2,MR2,MR2,62.5
30,3,MR3,MR5,50
30,4,MR4,MR6,50
30,5,MR5,MR4,25
30,6,MR6,MR1,62.5
31,1,MR1,MR1,62.5
31,2,MR2,MR5,37.5
31,3,MR3,MR6,37.5
31,4,MR4,MR2,25
31,5,MR5,MR4,37.5
31,6,MR6,MR3,75
32,1,MR1,MR2,37.5
32,2,MR2,MR4,50
32,3,MR3,MR5,62.5
32,4,MR4,MR1,62.5
32,5,MR5,MR6,25
32,6,MR6,MR3,87.5
33,1,MR1,MR2,50
33,2,MR2,MR5,50
33,3,MR3,MR1,37.5
33,4,MR4,MR6,50
33,5,MR5,MR4,37.5
33,6,MR6,MR3,62.5
34,1,MR1,MR2,62.5
34,2,MR2,MR5,37.5
34,3,MR3,MR4,62.5
34,4,MR4,MR3,37.5
34,5,MR5,MR1,50
34,6,MR6,MR6,62.5
35,1,MR1,MR5,50
35,2,MR2,MR3,37.5
35,3,MR3,MR6,37.5
35,4,MR4,MR1,50
35,5,MR5,MR4,37.5
35,6,MR6,MR2,75
36,1,MR1,MR2,37.5
36,2,MR2,MR3,62.5
36,3,MR3,MR5,37.5
36,4,MR4,MR4,75
36,5,MR5,MR1,50
36,6,MR6,MR6,75
37,1,MR1,MR6,50
37,2,MR2,MR4,50
37,3,MR3,MR3,50
37,4,MR4,MR5,75
37,5,MR5,MR1,25
37,6,MR6,MR2,25
38,1,MR1,MR3,37.5
38,2,MR2,MR6,50
38,3,MR3,MR1,50
38,4,MR4,MR2,50
38,5,MR5,MR5,25
38,6,MR6,MR4,75
39,1,MR1,MR5,37.5
39,2,MR2,MR2,50
39,3,MR3,MR6,50
39,4,MR4,MR3,50
39,5,MR5,MR1,37.5
39,6,MR6,MR4,75
40,1,MR1,MR5,50
40,2,MR2,MR3,62.5
40,3,MR3,MR1,37.5
40,4,MR4,MR4,50
40,5,MR5,MR2,50
40,6,MR6,MR6,50
41,1,MR1,MR5,62.5
41,2,MR2,MR2,37.5
41,3,MR3,MR1,62.5
41,4,MR4,MR4,62.5
41,5,MR5,MR6,25
41,6,MR6,MR3,75
42,1,MR1,MR6,50
42,2,MR2,MR2,50
42,3,MR3,MR5,50
42,4,MR4,MR3,50
42,5,MR5,MR4,25
42,6,MR6,MR1,50
43,1,MR1,MR3,50
43,2,MR2,MR2,25
43,3,MR3,MR5,37.5
43,4,MR4,MR6,50
43,5,MR5,MR4,50
43,6,MR6,MR1,62.5
44,1,MR1,MR4,37.5
44,2,MR2,MR5,25
44,3,MR3,MR2,62.5
44,4,MR4,MR1,62.5
44,5,MR5,MR3,37.5
44,6,MR6,MR6,62.5
45,1,MR1,MR3,62.5
45,2,MR2,MR1,50
45,3,MR3,MR6,50
45,4,MR4,MR2,37.5
45,5,MR5,MR4,37.5
45,6,MR6,MR5,75
46,1,MR1,MR6,50
46,2,MR2,MR1,62.5
46,3,MR3,MR3,50
46,4,MR4,MR5,37.5
46,5,MR5,MR4,37.5
46,6,MR6,MR2,75
47,1,MR1,MR1,37.5
47,2,MR2,MR3,50
47,3,MR3,MR5,37.5
47,4,MR4,MR2,37.5
47,5,MR5,MR6,50
47,6,MR6,MR4,75
48,1,MR1,MR1,37.5
48,2,MR2,MR5,50
48,3,MR3,MR4,37.5
48,4,MR4,MR3,62.5
48,5,MR5,MR2,50
48,6,MR6,MR6,62.5
49,1,MR1,MR4,50
49,2,MR2,MR6,62.5
49,3,MR3,MR3,37.5
49,4,MR4,MR5,62.5
49,5,MR5,MR1,75
49,6,MR6,MR2,75
50,1,MR1,MR4,37.5
50,2,MR2,MR3,37.5
50,3,MR3,MR6,37.5
50,4,MR4,MR1,37.5
50,5,MR5,MR2,37.5
50,6,MR6,MR5,37.5
51,1,MR1,MR2,62.5
51,2,MR2,MR4,12.5
51,3,MR3,MR1,50
51,4,MR4,MR6,50
51,5,MR5,MR5,50
51,6,MR6,MR3,62.5
52,1,MR1,MR4,62.5
52,2,MR2,MR6,37.5
52,3,MR3,MR3,50
52,4,MR4,MR2,50
52,5,MR5,MR1,50
52,6,MR6,MR5,50
53,1,MR1,MR1,50
53,2,MR2,MR2,37.5
53,3,MR3,MR3,37.5
53,4,MR4,MR4,50
53,5,MR5,MR6,37.5
53,6,MR6,MR5,75
54,1,MR1,MR6,50
54,2,MR2,MR3,25
54,3,MR3,MR5,50
54,4,MR4,MR2,50
54,5,MR5,MR1,50
54,6,MR6,MR4,75
55,1,MR1,MR1,50
55,2,MR2,MR6,50
55,3,MR3,MR3,62.5
55,4,MR4,MR4,75
55,5,MR5,MR2,62.5
55,6,MR6,MR5,87.5
56,1,MR1,MR2,62.5
56,2,MR2,MR1,50
56,3,MR3,MR4,37.5
56,4,MR4,MR6,50
56,5,MR5,MR3,50
56,6,MR6,MR5,75
57,1,MR1,MR5,50
57,2,MR2,MR4,37.5
57,3,MR3,MR3,25
57,4,MR4,MR2,50
57,5,MR5,MR1,25
57,6,MR6,MR6,87.5
58,1,MR1,MR3,62.5
58,2,MR2,MR6,25
58,3,MR3,MR5,50
58,4,MR4,MR1,50
58,5,MR5,MR4,50
58,6,MR6,MR2,62.5
59,1,MR1,MR2,25
59,2,MR2,MR6,50
59,3,MR3,MR3,50
59,4,MR4,MR4,50
59,5,MR5,MR1,50
59,6,MR6,MR5,50
60,1,MR1,MR2,50
60,2,MR2,MR6,37.5
60,3,MR3,MR1,37.5
60,4,MR4,MR3,50
60,5,MR5,MR5,62.5
60,6,MR6,MR4,62.5
61,1,MR1,MR5,50
61,2,MR2,MR2,50
61,3,MR3,MR6,25
61,4,MR4,MR4,50
61,5,MR5,MR1,37.5
61,6,MR6,MR3,75
62,1,MR1,MR5,50
62,2,MR2,MR6,37.5
62,3,MR3,MR4,50
62,4,MR4,MR1,50
62,5,MR5,MR3,62.5
62,6,MR6,MR2,50
63,1,MR1,MR5,37.5
63,2,MR2,MR1,50
63,3,MR3,MR6,50
63,4,MR4,MR4,62.5
63,5,MR5,MR2,12.5
63,6,MR6,MR3,75
64,1,MR1,MR1,62.5
64,2,MR2,MR5,25
64,3,MR3,MR6,37.5
64,4,MR4,MR3,75
64,5,MR5,MR4,50
64,6,MR6,MR2,50
65,1,MR1,MR1,62.5
65,2,MR2,MR2,50
65,3,MR3,MR5,50
65,4,MR4,MR6,62.5
65,5,MR5,MR4,37.5
65,6,MR6,MR3,75
66,1,MR1,MR1,62.5
66,2,MR2,MR5,62.5
66,3,MR3,MR4,12.5
66,4,MR4,MR2,50
66,5,MR5,MR3,62.5
66,6,MR6,MR6,87.5
67,1,MR1,MR5,37.5
67,2,MR2,MR3,62.5
67,3,MR3,MR6,62.5
67,4,MR4,MR1,50
67,5,MR5,MR2,50
67,6,MR6,MR4,87.5
68,1,MR1,MR3,62.5
68,2,MR2,MR5,37.5
68,3,MR3,MR2,50
68,4,MR4,MR1,50
68,5,MR5,MR4,37.5
68,6,MR6,MR6,50
69,1,MR1,MR1,62.5
69,2,MR2,MR3,50
69,3,MR3,MR2,25
69,4,MR4,MR5,62.5
69,5,MR5,MR6,50
69,6,MR6,MR4,87.5
70,1,MR1,MR5,37.5
70,2,MR2,MR4,37.5
70,3,MR3,MR6,50
70,4,MR4,MR3,37.5
70,5,MR5,MR2,50
70,6,MR6,MR1,62.5
71,1,MR1,MR2,37.5
71,2,MR2,MR4,37.5
71,3,MR3,MR5,62.5
71,4,MR4,MR6,50
71,5,MR5,MR3,50
71,6,MR6,MR1,62.5
72,1,MR1,MR6,37.5
72,2,MR2,MR4,50
72,3,MR3,MR2,25
72,4,MR4,MR5,25
72,5,MR5,MR3,25
72,6,MR6,MR1,50
73,1,MR1,MR6,37.5
73,2,MR2,MR3,37.5
73,3,MR3,MR1,50
73,4,MR4,MR4,62.5
73,5,MR5,MR5,37.5
73,6,MR6,MR2,50
74,1,MR1,MR4,37.5
74,2,MR2,MR1,50
74,3,MR3,MR2,37.5
74,4,MR4,MR6,50
74,5,MR5,MR5,62.5
74,6,MR6,MR3,75
75,1,MR1,MR2,50
75,2,MR2,MR6,37.5
75,3,MR3,MR3,25
75,4,MR4,MR5,50
75,5,MR5,MR1,37.5
75,6,MR6,MR4,75
76,1,MR1,MR5,50
76,2,MR2,MR6,25
76,3,MR3,MR4,37.5
76,4,MR4,MR2,50
76,5,MR5,MR3,62.5
76,6,MR6,MR1,50
77,1,MR1,MR5,37.5
77,2,MR2,MR2,62.5
77,3,MR3,MR1,25
77,4,MR4,MR3,50
77,5,MR5,MR6,37.5
77,6,MR6,MR4,75
78,1,MR1,MR4,25
78,2,MR2,MR2,50
78,3,MR3,MR6,37.5
78,4,MR4,MR3,75
78,5,MR5,MR5,37.5
78,6,MR6,MR1,62.5
79,1,MR1,MR2,25
79,2,MR2,MR4,50
79,3,MR3,MR5,62.5
79,4,MR4,MR1,50
79,5,MR5,MR6,37.5
79,6,MR6,MR3,62.5
80,1,MR1,MR3,62.5
80,2,MR2,MR2,25
80,3,MR3,MR4,62.5
80,4,MR4,MR1,50
80,5,MR5,MR6,37.5
80,6,MR6,MR5,50
81,1,MR1,MR3,25
81,2,MR2,MR2,50
81,3,MR3,MR4,62.5
81,4,MR4,MR1,50
81,5,MR5,MR5,37.5
81,6,MR6,MR6,62.5
82,1,MR1,MR6,62.5
82,2,MR2,MR2,25
82,3,MR3,MR1,50
82,4,MR4,MR4,50
82,5,MR5,MR5,50
82,6,MR6,MR3,62.5
83,1,MR1,MR4,50
83,2,MR2,MR3,37.5
83,3,MR3,MR2,62.5
83,4,MR4,MR6,25
83,5,MR5,MR1,37.5
83,6,MR6,MR5,87.5
84,1,MR1,MR3,37.5
84,2,MR2,MR4,50
84,3,MR3,MR6,37.5
84,4,MR4,MR2,62.5
84,5,MR5,MR1,50
84,6,MR6,MR5,62.5
85,1,MR1,MR6,50
85,2,MR2,MR3,37.5
85,3,MR3,MR2,37.5
85,4,MR4,MR4,75
85,5,MR5,MR5,50
85,6,MR6,MR1,50
86,1,MR1,MR1,50
86,2,MR2,MR5,25
86,3,MR3,MR3,37.5
86,4,MR4,MR4,37.5
86,5,MR5,MR2,37.5
86,6,MR6,MR6,62.5
87,1,MR1,MR5,37.5
87,2,MR2,MR6,37.5
87,3,MR3,MR3,62.5
87,4,MR4,MR2,50
87,5,MR5,MR1,25
87,6,MR6,MR4,75
88,1,MR1,MR1,62.5
88,2,MR2,MR6,50
88,3,MR3,MR5,50
88,4,MR4,MR2,62.5
88,5,MR5,MR3,37.5
88,6,MR6,MR4,75
89,1,MR1,MR4,62.5
89,2,MR2,MR5,12.5
89,3,MR3,MR2,62.5
89,4,MR4,MR1,37.5
89,5,MR5,MR3,62.5
89,6,MR6,MR6,75
90,1,MR1,MR3,37.5
90,2,MR2,MR2,37.5
90,3,MR3,MR4,37.5
90,4,MR4,MR1,62.5
90,5,MR5,MR5,37.5
90,6,MR6,MR6,62.5
91,1,MR1,MR3,50
91,2,MR2,MR6,50
91,3,MR3,MR4,37.5
91,4,MR4,MR1,37.5
91,5,MR5,MR2,50
91,6,MR6,MR5,62.5
92,1,MR1,MR3,75
92,2,MR2,MR2,62.5
92,3,MR3,MR6,37.5
92,4,MR4,MR1,87.5
92,5,MR5,MR5,50
92,6,MR6,MR4,75
93,1,MR1,MR4,37.5
93,2,MR2,MR2,37.5
93,3,MR3,MR1,50
93,4,MR4,MR3,37.5
93,5,MR5,MR5,37.5
93,6,MR6,MR6,50
94,1,MR1,MR1,37.5
94,2,MR2,MR5,37.5
94,3,MR3,MR3,75
94,4,MR4,MR6,37.5
94,5,MR5,MR4,50
94,6,MR6,MR2,75
95,1,MR1,MR4,25
95,2,MR2,MR5,37.5
95,3,MR3,MR3,62.5
95,4,MR4,MR1,62.5
95,5,MR5,MR6,50
95,6,MR6,MR2,75
96,1,MR1,MR3,37.5
96,2,MR2,MR2,50
96,3,MR3,MR4,50
96,4,MR4,MR6,50
96,5,MR5,MR1,50
96,6,MR6,MR5,62.5
97,1,MR1,MR2,37.5
97,2,MR2,MR4,50
97,3,MR3,MR6,37.5
97,4,MR4,MR5,75
97,5,MR5,MR3,25
97,6,MR6,MR1,75
98,1,MR1,MR1,62.5
98,2,MR2,MR2,50
98,3,MR3,MR4,50
98,4,MR4,MR6,50
98,5,MR5,MR3,50
98,6,MR6,MR5,75
99,1,MR1,MR4,50
99,2,MR2,MR5,37.5
99,3,MR3,MR3,37.5
99,4,MR4,MR6,62.5
99,5,MR5,MR1,37.5
99,6,MR6,MR2,62.5
100,1,MR1,MR4,50
100,2,MR2,MR6,50
100,3,MR3,MR3,25
100,4,MR4,MR5,50
100,5,MR5,MR1,37.5
100,6,MR6,MR2,75
