analysis_sample,matrix,h,p,comparison,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,RAW,2,6,KM_vs_EXPERTS,KM4,Careful,50,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,2,6,KM_vs_EXPERTS,KM5,Fearful,23.529411764705884,12,9,4,33.333333333333336,44.44444444444444,23.529411764705884,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
COMPLETE,RAW,2,6,KM_vs_EXPERTS,KM6,Activist,30.76923076923077,11,6,4,36.36363636363637,66.66666666666667,30.76923076923077,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence
COMPLETE,RAW,2,6,EFA_vs_EXPERTS,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,2,6,EFA_vs_EXPERTS,EFA2,Fearful,30.76923076923077,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,2,6,EFA_vs_EXPERTS,EFA3,Early.Adopter,21.428571428571427,11,6,3,27.272727272727273,50,21.428571428571427,det_11_knowledge; det_26_novelty; det_29_trends
COMPLETE,RAW,2,6,EFA_vs_EXPERTS,EFA4,Uninterested,16.666666666666668,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,6,EFA_vs_EXPERTS,EFA5,Homo.Economicus,15,14,9,3,21.428571428571427,33.333333333333336,15,det_01_profits; det_11_knowledge; det_13_technical_fit
COMPLETE,RAW,2,6,EFA_vs_EXPERTS,EFA6,Careful,35.294117647058826,11,12,6,54.54545454545455,50,35.294117647058826,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence
COMPLETE,RAW,2,7,KM_vs_EFA_OVERLAP,KM1,EFA6,62.5,8,11,5,62.5,45.45454545454545,35.714285714285715,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
COMPLETE,RAW,2,7,KM_vs_EFA_OVERLAP,KM2,EFA3,88.88888888888889,9,11,8,88.88888888888889,72.72727272727273,66.66666666666667,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,7,KM_vs_EFA_OVERLAP,KM3,EFA4,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,7,KM_vs_EFA_OVERLAP,KM4,EFA7,88.88888888888889,9,13,8,88.88888888888889,61.53846153846154,57.142857142857146,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing
COMPLETE,RAW,2,7,KM_vs_EFA_OVERLAP,KM5,EFA5,75,12,14,9,75,64.28571428571429,52.94117647058823,det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,7,KM_vs_EFA_OVERLAP,KM6,EFA1,54.54545454545455,11,8,6,54.54545454545455,75,46.15384615384615,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,7,KM_vs_EFA_OVERLAP,KM7,EFA2,30.76923076923077,13,8,4,30.76923076923077,50,23.529411764705884,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,2,7,KM_vs_EFA_JACCARD,KM1,EFA6,35.714285714285715,8,11,5,62.5,45.45454545454545,35.714285714285715,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
COMPLETE,RAW,2,7,KM_vs_EFA_JACCARD,KM2,EFA1,70,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,7,KM_vs_EFA_JACCARD,KM3,EFA4,27.77777777777778,15,8,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness
COMPLETE,RAW,2,7,KM_vs_EFA_JACCARD,KM4,EFA7,57.142857142857146,9,13,8,88.88888888888889,61.53846153846154,57.142857142857146,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing
COMPLETE,RAW,2,7,KM_vs_EFA_JACCARD,KM5,EFA2,17.647058823529413,12,8,3,25,37.5,17.647058823529413,det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,2,7,KM_vs_EFA_JACCARD,KM6,EFA3,46.666666666666664,11,11,7,63.63636363636363,63.63636363636363,46.666666666666664,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,7,KM_vs_EFA_JACCARD,KM7,EFA5,58.8235294117647,13,14,10,76.92307692307692,71.42857142857143,58.8235294117647,det_01_profits; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,RAW,2,7,KM_vs_EXPERTS,KM1,Stubborn,37.5,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
COMPLETE,RAW,2,7,KM_vs_EXPERTS,KM2,Influencer,55.55555555555556,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,2,7,KM_vs_EXPERTS,KM3,Homo.Economicus,50,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,2,7,KM_vs_EXPERTS,KM4,Careful,50,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,2,7,KM_vs_EXPERTS,KM5,Fearful,23.529411764705884,12,9,4,33.333333333333336,44.44444444444444,23.529411764705884,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
COMPLETE,RAW,2,7,KM_vs_EXPERTS,KM6,Early.Adopter,30.76923076923077,11,6,4,36.36363636363637,66.66666666666667,30.76923076923077,det_11_knowledge; det_15_self_satisfaction; det_17_adherence; det_29_trends
COMPLETE,RAW,2,7,KM_vs_EXPERTS,KM7,Uninterested,18.75,13,6,3,23.076923076923077,50,18.75,det_13_technical_fit; det_22_peer_pressure; det_30_authority
COMPLETE,RAW,2,7,EFA_vs_EXPERTS,EFA1,Influencer,44.44444444444444,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,2,7,EFA_vs_EXPERTS,EFA2,Careful,25,8,12,4,50,33.333333333333336,25,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_12_own_competence
COMPLETE,RAW,2,7,EFA_vs_EXPERTS,EFA3,Early.Adopter,21.428571428571427,11,6,3,27.272727272727273,50,21.428571428571427,det_11_knowledge; det_26_novelty; det_29_trends
COMPLETE,RAW,2,7,EFA_vs_EXPERTS,EFA4,Stubborn,10,8,3,1,12.5,33.333333333333336,10,det_15_self_satisfaction
COMPLETE,RAW,2,7,EFA_vs_EXPERTS,EFA5,Uninterested,17.647058823529413,14,6,3,21.428571428571427,50,17.647058823529413,det_13_technical_fit; det_22_peer_pressure; det_30_authority
COMPLETE,RAW,2,7,EFA_vs_EXPERTS,EFA6,Homo.Economicus,33.333333333333336,11,9,5,45.45454545454545,55.55555555555556,33.333333333333336,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,2,7,EFA_vs_EXPERTS,EFA7,Fearful,46.666666666666664,13,9,7,53.84615384615385,77.77777777777777,46.666666666666664,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,RAW,2,8,KM_vs_EFA_OVERLAP,KM1,EFA6,62.5,8,11,5,62.5,45.45454545454545,35.714285714285715,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
