stage_dimension_id,participant_id,stage,technology,dimension_key,dimension,n_determinants_linked,n_determinants_filled,n_determinants_missing
33,PROLIFIC_5d1f54b95538e6001a843293,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
34,PROLIFIC_69932173fe3deef35c4f7e70,Implemented,Energy-efficient appliances,MEANING,Meaning,2,0,2
35,PROLIFIC_69edcc3c9f52558843ab7d99,Implemented,Energy-efficient appliances,AUTONOMY,Autonomy,4,4,0
36,PROLIFIC_69eca1e06533d42ff1306a24,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
37,PROLIFIC_69eca1e06533d42ff1306a24,Implemented,Micro-efficiency measures,COMPETENCE,Competence,5,5,0
38,PROLIFIC_69eca1e06533d42ff1306a24,Implemented,Micro-efficiency measures,AUTONOMY,Autonomy,4,4,0
39,22,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,5,0
40,22,Implemented,Domestic hot water system,POPULARITY,Popularity,2,2,0
41,22,Implemented,Domestic hot water system,MEANING,Meaning,2,2,0
42,PROLIFIC_69d763affd0080c0bffcd367,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
43,PROLIFIC_69d763affd0080c0bffcd367,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,2,0
44,PROLIFIC_69d763affd0080c0bffcd367,Implemented,Envelope renovation,MEANING,Meaning,2,2,0
45,PROLIFIC_6103a3ece71ab061d5624402,Implemented,Energy-efficient appliances,SECURITY,Security,4,4,0
46,PROLIFIC_6103a3ece71ab061d5624402,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
47,PROLIFIC_6103a3ece71ab061d5624402,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
48,PROLIFIC_69e213021f9224d147d5908b,Implemented,Electric vehicle,FINANCIAL,Financial security,5,5,0
49,PROLIFIC_69e213021f9224d147d5908b,Implemented,Electric vehicle,SECURITY,Security,4,4,0
50,PROLIFIC_69e213021f9224d147d5908b,Implemented,Electric vehicle,MEANING,Meaning,2,2,0
51,PROLIFIC_672b6f50809e58bcc13a57b4,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
52,PROLIFIC_699776549800aa3b0399d642,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
53,PROLIFIC_699776549800aa3b0399d642,Implemented,Micro-efficiency measures,AUTONOMY,Autonomy,4,4,0
54,PROLIFIC_699776549800aa3b0399d642,Implemented,Micro-efficiency measures,MEANING,Meaning,2,2,0
55,PROLIFIC_6a229862a12b21ee07229d8a,Implemented,Cooling system,COMPETENCE,Competence,5,5,0
56,PROLIFIC_6a229862a12b21ee07229d8a,Implemented,Cooling system,AUTONOMY,Autonomy,4,4,0
57,PROLIFIC_6a229862a12b21ee07229d8a,Implemented,Cooling system,PHYSIOLOGICAL,Materiality,2,2,0
58,PROLIFIC_66045ed49119e654e5454985,Implemented,Domestic hot water system,AUTONOMY,Autonomy,4,4,0
59,PROLIFIC_66045ed49119e654e5454985,Implemented,Domestic hot water system,PHYSIOLOGICAL,Materiality,2,2,0
60,PROLIFIC_66045ed49119e654e5454985,Implemented,Domestic hot water system,RELATEDNESS,Relatedness,5,5,0
61,PROLIFIC_5d6558fa16871700012ea47b,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
62,PROLIFIC_5d6558fa16871700012ea47b,Implemented,Micro-efficiency measures,PHYSIOLOGICAL,Materiality,2,2,0
63,PROLIFIC_5d6558fa16871700012ea47b,Implemented,Micro-efficiency measures,STIMULATION,Stimulation,3,3,0
64,PROLIFIC_57e928630cb6700001dd8f8a,Implemented,Balcony solar kits,FINANCIAL,Financial security,5,5,0
65,PROLIFIC_57e928630cb6700001dd8f8a,Implemented,Balcony solar kits,COMPETENCE,Competence,5,5,0
66,PROLIFIC_57e928630cb6700001dd8f8a,Implemented,Balcony solar kits,AUTONOMY,Autonomy,4,4,0
67,PROLIFIC_698fa8ec85144121c0643338,Implemented,Smart home systems,FINANCIAL,Financial security,5,5,0
68,PROLIFIC_698fa8ec85144121c0643338,Implemented,Smart home systems,SECURITY,Security,4,4,0
69,PROLIFIC_698fa8ec85144121c0643338,Implemented,Smart home systems,AUTONOMY,Autonomy,4,4,0
70,PROLIFIC_697907c3546949f10030ddf1,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
71,PROLIFIC_5eda1423dd2241017d85fd44,Implemented,Cooling system,FINANCIAL,Financial security,5,5,0
72,PROLIFIC_5eda1423dd2241017d85fd44,Implemented,Cooling system,PHYSIOLOGICAL,Materiality,2,2,0
73,PROLIFIC_5eda1423dd2241017d85fd44,Implemented,Cooling system,STIMULATION,Stimulation,3,3,0
74,PROLIFIC_698eea589bb7dd5212c5e3c9,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
75,PROLIFIC_698eea589bb7dd5212c5e3c9,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,2,0
76,PROLIFIC_698eea589bb7dd5212c5e3c9,Implemented,Envelope renovation,MEANING,Meaning,2,2,0
77,PROLIFIC_69b9bf5f0faac70cd0e24cf6,Implemented,Envelope renovation,FINANCIAL,Financial security,5,4,1
78,PROLIFIC_6a0daf62ec01cd69c04d1da8,Implemented,Smart home systems,FINANCIAL,Financial security,5,5,0
79,PROLIFIC_6a0daf62ec01cd69c04d1da8,Implemented,Smart home systems,SECURITY,Security,4,4,0
80,PROLIFIC_6990691f5ced735f10ff3bba,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,5,0
81,PROLIFIC_6990691f5ced735f10ff3bba,Implemented,Domestic hot water system,SECURITY,Security,4,4,0
82,PROLIFIC_6990691f5ced735f10ff3bba,Implemented,Domestic hot water system,PHYSIOLOGICAL,Materiality,2,2,0
83,PROLIFIC_61034f24da19cc56177b8b59,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,4,1
84,PROLIFIC_61034f24da19cc56177b8b59,Implemented,Domestic hot water system,SECURITY,Security,4,4,0
85,PROLIFIC_61034f24da19cc56177b8b59,Implemented,Domestic hot water system,AUTONOMY,Autonomy,4,4,0
86,PROLIFIC_697b1a2669af0b3f24790e20,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
87,PROLIFIC_697b1a2669af0b3f24790e20,Implemented,Envelope renovation,SECURITY,Security,4,4,0
88,PROLIFIC_697b1a2669af0b3f24790e20,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,2,0
89,PROLIFIC_6a0c1bc666f7cca388e60c9c,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
90,PROLIFIC_6a0c1bc666f7cca388e60c9c,Implemented,Envelope renovation,SECURITY,Security,4,4,0
91,PROLIFIC_6a0c1bc666f7cca388e60c9c,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,2,0
92,PROLIFIC_6a2287e1de4099ccf09eac69,Implemented,Envelope renovation,FINANCIAL,Financial security,5,3,2
93,PROLIFIC_6a2287e1de4099ccf09eac69,Implemented,Envelope renovation,COMPETENCE,Competence,5,5,0
94,PROLIFIC_6a2287e1de4099ccf09eac69,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,2,0
95,PROLIFIC_64edf002c925fb837ee0a770,Implemented,Heat pump,FINANCIAL,Financial security,5,5,0
96,PROLIFIC_64edf002c925fb837ee0a770,Implemented,Heat pump,AUTONOMY,Autonomy,4,4,0
97,PROLIFIC_6a06ce99e7948a2b48b807b8,Implemented,Electricity tariff change,FINANCIAL,Financial security,5,5,0
98,PROLIFIC_6a06ce99e7948a2b48b807b8,Implemented,Electricity tariff change,AUTONOMY,Autonomy,4,4,0
99,PROLIFIC_69f349141b7a57cdd52b671c,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
100,PROLIFIC_69f349141b7a57cdd52b671c,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,2,0
101,PROLIFIC_69f732a6afef1c53157db063,Implemented,Heat pump,FINANCIAL,Financial security,5,4,1
102,PROLIFIC_69f732a6afef1c53157db063,Implemented,Heat pump,AUTONOMY,Autonomy,4,4,0
103,PROLIFIC_69f732a6afef1c53157db063,Implemented,Heat pump,MEANING,Meaning,2,2,0
104,PROLIFIC_5e9c3ff1cf719d151612648f,Implemented,Electricity tariff change,MEANING,Meaning,2,2,0
105,PROLIFIC_5cf101ea48405a0018415d09,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
106,PROLIFIC_5cf101ea48405a0018415d09,Implemented,Envelope renovation,COMPETENCE,Competence,5,5,0
107,PROLIFIC_5f21ff288900cb4709dd49aa,Implemented,Smart home systems,SECURITY,Security,4,4,0
108,PROLIFIC_5f21ff288900cb4709dd49aa,Implemented,Smart home systems,STIMULATION,Stimulation,3,3,0
109,PROLIFIC_5f21ff288900cb4709dd49aa,Implemented,Smart home systems,MEANING,Meaning,2,2,0
110,PROLIFIC_5d7e41aea60f7b00013cf1af,Implemented,Energy-efficient appliances,AUTONOMY,Autonomy,4,4,0
111,PROLIFIC_5d7e41aea60f7b00013cf1af,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
112,PROLIFIC_5d7e41aea60f7b00013cf1af,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
113,PROLIFIC_6a204321d4201071efadc417,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
114,PROLIFIC_6a204321d4201071efadc417,Implemented,Micro-efficiency measures,SECURITY,Security,4,2,2
115,PROLIFIC_6a204321d4201071efadc417,Implemented,Micro-efficiency measures,POPULARITY,Popularity,2,1,1
116,PROLIFIC_6976fca13dd3674fd0702a52,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
117,PROLIFIC_6976fca13dd3674fd0702a52,Implemented,Envelope renovation,AUTONOMY,Autonomy,4,4,0
118,PROLIFIC_6976fca13dd3674fd0702a52,Implemented,Envelope renovation,MEANING,Meaning,2,2,0
119,PROLIFIC_6a098c627878fd02b2b0766e,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
120,PROLIFIC_6a098c627878fd02b2b0766e,Implemented,Envelope renovation,SECURITY,Security,4,4,0
121,PROLIFIC_6a098c627878fd02b2b0766e,Implemented,Envelope renovation,POPULARITY,Popularity,2,2,0
122,PROLIFIC_698f1a372de6aef866bec656,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
123,PROLIFIC_698f1a372de6aef866bec656,Implemented,Micro-efficiency measures,SECURITY,Security,4,4,0
124,PROLIFIC_698f1a372de6aef866bec656,Implemented,Micro-efficiency measures,AUTONOMY,Autonomy,4,4,0
125,PROLIFIC_69fc2d7674f4ab68ebfd7559,Implemented,Electricity tariff change,FINANCIAL,Financial security,5,5,0
126,PROLIFIC_69fc2d7674f4ab68ebfd7559,Implemented,Electricity tariff change,AUTONOMY,Autonomy,4,4,0
127,PROLIFIC_69fc2d7674f4ab68ebfd7559,Implemented,Electricity tariff change,MEANING,Meaning,2,2,0
128,PROLIFIC_6a005381c9f64426562d2587,Implemented,Heat pump,FINANCIAL,Financial security,5,4,1
129,PROLIFIC_6a005381c9f64426562d2587,Implemented,Heat pump,SECURITY,Security,4,4,0
130,PROLIFIC_6a005381c9f64426562d2587,Implemented,Heat pump,PHYSIOLOGICAL,Materiality,2,2,0
131,PROLIFIC_69f4823b807f06208c1f8ff8,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
132,PROLIFIC_69f4823b807f06208c1f8ff8,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
133,PROLIFIC_69c6a6aade93df9f06f725a2,Implemented,Micro-efficiency measures,MEANING,Meaning,2,2,0
134,PROLIFIC_69f3101cd619e2288f7cffa7,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,5,0
135,PROLIFIC_69f3101cd619e2288f7cffa7,Implemented,Domestic hot water system,COMPETENCE,Competence,5,5,0
136,PROLIFIC_69f3101cd619e2288f7cffa7,Implemented,Domestic hot water system,AUTONOMY,Autonomy,4,4,0
137,PROLIFIC_5e92267dcc3d6c553eb8c817,Implemented,Envelope renovation,FINANCIAL,Financial security,5,4,1
138,PROLIFIC_5e92267dcc3d6c553eb8c817,Implemented,Envelope renovation,COMPETENCE,Competence,5,5,0
139,PROLIFIC_5e92267dcc3d6c553eb8c817,Implemented,Envelope renovation,AUTONOMY,Autonomy,4,4,0
140,PROLIFIC_6a229b5352a32f629034f221,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,4,1
141,PROLIFIC_6a229b5352a32f629034f221,Implemented,Energy-efficient appliances,COMPETENCE,Competence,5,5,0
142,PROLIFIC_6a229b5352a32f629034f221,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
143,PROLIFIC_6a23e0de47bc759d7dfabea7,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,5,0
144,PROLIFIC_6a23e0de47bc759d7dfabea7,Implemented,Domestic hot water system,SECURITY,Security,4,4,0
145,PROLIFIC_6a23e0de47bc759d7dfabea7,Implemented,Domestic hot water system,COMPETENCE,Competence,5,5,0
146,PROLIFIC_6a21ea8132a0738c3116b9e0,Implemented,Electricity tariff change,SECURITY,Security,4,3,1
147,PROLIFIC_6a21ea8132a0738c3116b9e0,Implemented,Electricity tariff change,COMPETENCE,Competence,5,5,0
148,PROLIFIC_6a21ea8132a0738c3116b9e0,Implemented,Electricity tariff change,PHYSIOLOGICAL,Materiality,2,2,0
149,PROLIFIC_697f4f0f25cc7707716e04f5,Implemented,Electricity tariff change,AUTONOMY,Autonomy,4,4,0
150,PROLIFIC_69d801b7ff73fd8726f49404,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
151,PROLIFIC_69d801b7ff73fd8726f49404,Implemented,Energy-efficient appliances,SECURITY,Security,4,4,0
152,PROLIFIC_69d801b7ff73fd8726f49404,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
153,PROLIFIC_6928b5026c84fcd91c5a7a68,Implemented,Electricity tariff change,FINANCIAL,Financial security,5,5,0
154,PROLIFIC_6928b5026c84fcd91c5a7a68,Implemented,Electricity tariff change,STIMULATION,Stimulation,3,3,0
155,PROLIFIC_6928b5026c84fcd91c5a7a68,Implemented,Electricity tariff change,MEANING,Meaning,2,2,0
156,PROLIFIC_6a00ddf17a4ca511079ba36,Implemented,Smart home systems,SECURITY,Security,4,4,0
157,PROLIFIC_6a00ddf17a4ca511079ba36,Implemented,Smart home systems,COMPETENCE,Competence,5,5,0
158,PROLIFIC_6a00ddf17a4ca511079ba36,Implemented,Smart home systems,AUTONOMY,Autonomy,4,4,0
159,PROLIFIC_6a22f1c96d813b77a267cc7d,Implemented,Cooling system,FINANCIAL,Financial security,5,5,0
160,PROLIFIC_6a22f1c96d813b77a267cc7d,Implemented,Cooling system,AUTONOMY,Autonomy,4,4,0
161,PROLIFIC_6a22f1c96d813b77a267cc7d,Implemented,Cooling system,POPULARITY,Popularity,2,2,0
162,PROLIFIC_6a0d86760c5c5b905946bc00,Implemented,Smart home systems,FINANCIAL,Financial security,5,5,0
163,PROLIFIC_6a0d86760c5c5b905946bc00,Implemented,Smart home systems,SECURITY,Security,4,4,0
164,PROLIFIC_6a0d86760c5c5b905946bc00,Implemented,Smart home systems,COMPETENCE,Competence,5,5,0
165,PROLIFIC_646219bb0b91a6f3327e39fb,Implemented,Electricity tariff change,FINANCIAL,Financial security,5,5,0
166,PROLIFIC_646219bb0b91a6f3327e39fb,Implemented,Electricity tariff change,COMPETENCE,Competence,5,5,0
167,PROLIFIC_646219bb0b91a6f3327e39fb,Implemented,Electricity tariff change,AUTONOMY,Autonomy,4,4,0
168,PROLIFIC_6a0631964347cec04dfa71d1,Implemented,Fossil fuel or biomass heating,FINANCIAL,Financial security,5,5,0
169,PROLIFIC_6a0631964347cec04dfa71d1,Implemented,Fossil fuel or biomass heating,COMPETENCE,Competence,5,5,0
170,PROLIFIC_6a064be60a1feb17a9dfe824,Implemented,Electricity tariff change,FINANCIAL,Financial security,5,5,0
171,PROLIFIC_66cc80d93247b5e14b3b7112,Implemented,Energy storage systems,FINANCIAL,Financial security,5,5,0
172,PROLIFIC_6980bdf135e5d99f4cd191e6,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
173,PROLIFIC_6980bdf135e5d99f4cd191e6,Implemented,Energy-efficient appliances,SECURITY,Security,4,4,0
174,PROLIFIC_6980bdf135e5d99f4cd191e6,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
175,PROLIFIC_602fe67919eaccd752eea5a5,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,5,0
176,PROLIFIC_602fe67919eaccd752eea5a5,Implemented,Domestic hot water system,SECURITY,Security,4,4,0
177,PROLIFIC_602fe67919eaccd752eea5a5,Implemented,Domestic hot water system,MEANING,Meaning,2,2,0
178,PROLIFIC_6a10442ceffde6b06d1cef3d,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
179,PROLIFIC_6a10442ceffde6b06d1cef3d,Implemented,Energy-efficient appliances,SECURITY,Security,4,4,0
180,PROLIFIC_6a10442ceffde6b06d1cef3d,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
181,PROLIFIC_6929ca088209364a5246d420,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,5,0
182,PROLIFIC_6929ca088209364a5246d420,Implemented,Domestic hot water system,SECURITY,Security,4,4,0
183,PROLIFIC_6929ca088209364a5246d420,Implemented,Domestic hot water system,COMPETENCE,Competence,5,5,0
184,PROLIFIC_6470e501cc85b0287c8da951,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
185,PROLIFIC_6470e501cc85b0287c8da951,Implemented,Energy-efficient appliances,AUTONOMY,Autonomy,4,4,0
186,PROLIFIC_6470e501cc85b0287c8da951,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
187,PROLIFIC_6985f197cf1559ac62ea5dc3,Implemented,Domestic hot water system,FINANCIAL,Financial security,5,5,0
188,PROLIFIC_6985f197cf1559ac62ea5dc3,Implemented,Domestic hot water system,AUTONOMY,Autonomy,4,4,0
189,PROLIFIC_6a00c9657d955585296f7301,Implemented,Cooling system,FINANCIAL,Financial security,5,5,0
190,PROLIFIC_6a00c9657d955585296f7301,Implemented,Cooling system,POPULARITY,Popularity,2,2,0
191,PROLIFIC_5c66cc9246bfc200019044b8,Implemented,Cooling system,FINANCIAL,Financial security,5,5,0
192,PROLIFIC_5c66cc9246bfc200019044b8,Implemented,Cooling system,SECURITY,Security,4,4,0
193,PROLIFIC_5c66cc9246bfc200019044b8,Implemented,Cooling system,PHYSIOLOGICAL,Materiality,2,2,0
194,PROLIFIC_5e86e0a50a340d32316afe9d,Implemented,Fossil fuel or biomass heating,FINANCIAL,Financial security,5,5,0
195,PROLIFIC_5e86e0a50a340d32316afe9d,Implemented,Fossil fuel or biomass heating,SECURITY,Security,4,4,0
196,PROLIFIC_5e86e0a50a340d32316afe9d,Implemented,Fossil fuel or biomass heating,AUTONOMY,Autonomy,4,4,0
197,PROLIFIC_69d7f5e13c624f3ce83d2cfb,Implemented,Balcony solar kits,PHYSIOLOGICAL,Materiality,2,2,0
198,PROLIFIC_69d7f5e13c624f3ce83d2cfb,Implemented,Balcony solar kits,STIMULATION,Stimulation,3,3,0
199,PROLIFIC_69d7f5e13c624f3ce83d2cfb,Implemented,Balcony solar kits,POPULARITY,Popularity,2,2,0
200,PROLIFIC_6a0d9e9144c2414b7e6adeda,Implemented,Domestic hot water system,PHYSIOLOGICAL,Materiality,2,2,0
201,PROLIFIC_6111037143ad4a71cf9e2852,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
202,PROLIFIC_6111037143ad4a71cf9e2852,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
203,PROLIFIC_6a25a6b9390e0020e7ef226e,Implemented,Cooling system,PHYSIOLOGICAL,Materiality,2,2,0
204,PROLIFIC_6a25a6b9390e0020e7ef226e,Implemented,Cooling system,STIMULATION,Stimulation,3,3,0
205,PROLIFIC_6a25a6b9390e0020e7ef226e,Implemented,Cooling system,POPULARITY,Popularity,2,2,0
206,PROLIFIC_69fc88ab52f8fd41bd554aee,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
207,PROLIFIC_69fc88ab52f8fd41bd554aee,Implemented,Envelope renovation,AUTONOMY,Autonomy,4,4,0
208,PROLIFIC_69fc88ab52f8fd41bd554aee,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,2,0
209,PROLIFIC_69f9f16dd6f231903e2a6b41,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
210,PROLIFIC_69f9f16dd6f231903e2a6b41,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
211,PROLIFIC_69f9f16dd6f231903e2a6b41,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
212,PROLIFIC_6a229a63b2044a3b6694cdf5,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
213,PROLIFIC_6a229a63b2044a3b6694cdf5,Implemented,Micro-efficiency measures,AUTONOMY,Autonomy,4,4,0
214,PROLIFIC_6a229a63b2044a3b6694cdf5,Implemented,Micro-efficiency measures,MEANING,Meaning,2,2,0
215,PROLIFIC_69de0876fb4170e1b31c0f7b,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
216,PROLIFIC_69de0876fb4170e1b31c0f7b,Implemented,Energy-efficient appliances,STIMULATION,Stimulation,3,3,0
217,PROLIFIC_69de0876fb4170e1b31c0f7b,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
218,PROLIFIC_6a07318351b163db6f9887f1,Implemented,Envelope renovation,FINANCIAL,Financial security,5,3,2
219,PROLIFIC_6a07318351b163db6f9887f1,Implemented,Envelope renovation,AUTONOMY,Autonomy,4,2,2
220,PROLIFIC_6a07318351b163db6f9887f1,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,2,1,1
221,PROLIFIC_698222e236223bf37e0685a3,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
222,PROLIFIC_698222e236223bf37e0685a3,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
223,PROLIFIC_69d023c8f299f5b1cc355e64,Implemented,Envelope renovation,FINANCIAL,Financial security,5,5,0
224,PROLIFIC_69d023c8f299f5b1cc355e64,Implemented,Envelope renovation,SECURITY,Security,4,3,1
225,PROLIFIC_69d023c8f299f5b1cc355e64,Implemented,Envelope renovation,COMPETENCE,Competence,5,5,0
226,PROLIFIC_698359ee7148b5a9731164bb,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
227,PROLIFIC_698359ee7148b5a9731164bb,Implemented,Micro-efficiency measures,COMPETENCE,Competence,5,5,0
228,PROLIFIC_698359ee7148b5a9731164bb,Implemented,Micro-efficiency measures,AUTONOMY,Autonomy,4,4,0
229,PROLIFIC_66316420ced02e8c467d22a2,Implemented,Electricity tariff change,FINANCIAL,Financial security,5,5,0
230,PROLIFIC_66316420ced02e8c467d22a2,Implemented,Electricity tariff change,AUTONOMY,Autonomy,4,4,0
231,PROLIFIC_66316420ced02e8c467d22a2,Implemented,Electricity tariff change,RELATEDNESS,Relatedness,5,5,0
232,PROLIFIC_698e260e1c956e03673d79ab,Implemented,Smart home systems,AUTONOMY,Autonomy,4,4,0
233,PROLIFIC_699304901f17ecf09a0c0f09,Implemented,Energy-efficient appliances,FINANCIAL,Financial security,5,5,0
234,PROLIFIC_699304901f17ecf09a0c0f09,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,2,2,0
235,PROLIFIC_699304901f17ecf09a0c0f09,Implemented,Energy-efficient appliances,MEANING,Meaning,2,2,0
236,PROLIFIC_6654840c725f74f1b0a206f9,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,5,5,0
